City,1-1-2022,1-1-2023,Change,County
Alameda,"33,524","33,959",1.3,Alameda
Albany,"7,946","7,967",0.3,Alameda
Berkeley,"52,921","53,734",1.5,Alameda
Dublin,"24,977","25,304",1.3,Alameda
Emeryville,"7,656","7,853",2.6,Alameda
Fremont,"79,749","81,065",1.7,Alameda
Hayward,"52,914","53,564",1.2,Alameda
Livermore,"33,087","33,157",0.2,Alameda
Newark,"15,811","16,153",2.2,Alameda
Oakland,"183,729","187,734",2.2,Alameda
Piedmont,"3,964","3,979",0.4,Alameda
Pleasanton,"29,750","29,776",0.1,Alameda
San Leandro,"32,952","33,223",0.8,Alameda
Union City,"21,947","21,960",0.1,Alameda
Alpine,"1,544","1,550",0.4,Alpine
Amador,119,119,0.0,Amador
Ione,"2,188","2,203",0.7,Amador
Jackson,"2,414","2,418",0.2,Amador
Plymouth,502,513,2.2,Amador
Sutter Creek,"1,430","1,432",0.1,Amador
Biggs,677,690,1.9,Butte
Chico,"45,793","46,678",1.9,Butte
Gridley,"2,606","2,651",1.7,Butte
Oroville,"7,783","7,846",0.8,Butte
Paradise,"3,702","4,365",17.9,Butte
Calaveras,"27,632","27,741",0.4,Calaveras
Angels City,"1,915","1,918",0.2,Calaveras
Antioch,"37,313","38,095",2.1,Contra Costa
Brentwood,"21,733","22,033",1.4,Contra Costa
Clayton,"4,170","4,172",0.0,Contra Costa
Concord,"47,683","47,816",0.3,Contra Costa
Danville,"16,288","16,341",0.3,Contra Costa
El Cerrito,"11,125","11,152",0.2,Contra Costa
Hercules,"9,340","9,575",2.5,Contra Costa
Lafayette,"10,057","10,124",0.7,Contra Costa
Martinez,"15,432","15,462",0.2,Contra Costa
Moraga,"5,971","5,974",0.1,Contra Costa
Oakley,"13,986","14,381",2.8,Contra Costa
Orinda,"7,344","7,388",0.6,Contra Costa
Pinole,"7,114","7,117",0.0,Contra Costa
Pittsburg,"24,161","24,475",1.3,Contra Costa
Pleasant Hill,"14,498","14,530",0.2,Contra Costa
Richmond,"40,831","40,871",0.1,Contra Costa
San Pablo,"9,963","9,971",0.1,Contra Costa
San Ramon,"29,460","29,538",0.3,Contra Costa
Walnut Creek,"34,550","34,759",0.6,Contra Costa
Del Norte,"11,169","11,227",0.5,Del Norte
Crescent City,"1,857","1,874",0.9,Del Norte
El Dorado,"94,680","95,278",0.6,El Dorado
Placerville,"4,873","4,893",0.4,El Dorado
South Lake Tahoe,"15,992","16,028",0.2,El Dorado
Clovis,"45,835","46,537",1.5,Fresno
Coalinga,"4,658","4,658",0.0,Fresno
Firebaugh,"2,343","2,381",1.6,Fresno
Fowler,"2,237","2,329",4.1,Fresno
Fresno,"186,993","188,541",0.8,Fresno
Huron,"1,641","1,641",0.0,Fresno
Kerman,"4,745","4,880",2.8,Fresno
Kingsburg,"4,510","4,702",4.3,Fresno
Mendota,"2,889","2,907",0.6,Fresno
Orange Cove,"2,490","2,490",0.0,Fresno
Parlier,"3,875","3,884",0.2,Fresno
Reedley,"7,363","7,537",2.4,Fresno
Sanger,"7,827","7,865",0.5,Fresno
San Joaquin,937,937,0.0,Fresno
Selma,"7,246","7,282",0.5,Fresno
Glenn,"11,020","11,043",0.2,Glenn
Orland,"2,978","2,983",0.2,Glenn
Willows,"2,517","2,518",0.0,Glenn
Humboldt,"62,771","63,142",0.6,Humboldt
Arcata,"8,502","8,668",2.0,Humboldt
Blue Lake,569,569,0.0,Humboldt
Eureka,"12,042","12,069",0.2,Humboldt
Ferndale,723,732,1.2,Humboldt
Fortuna,"5,295","5,336",0.8,Humboldt
Rio Dell,"1,443","1,444",0.1,Humboldt
Trinidad,231,231,0.0,Humboldt
Brawley,"8,919","9,236",3.6,Imperial
Calexico,"11,030","11,106",0.7,Imperial
Calipatria,"1,116","1,121",0.4,Imperial
El Centro,"15,235","15,324",0.6,Imperial
Holtville,"1,841","1,841",0.0,Imperial
Imperial,"6,711","6,797",1.3,Imperial
Westmorland,663,666,0.5,Imperial
Inyo,"9,518","9,527",0.1,Inyo
Bishop,"1,956","1,958",0.1,Inyo
Arvin,"4,899","4,917",0.4,Kern
Bakersfield,"135,922","137,327",1.0,Kern
California City,"5,223","5,334",2.1,Kern
Delano,"11,817","12,282",3.9,Kern
Maricopa,432,432,0.0,Kern
McFarland,"3,480","3,480",0.0,Kern
Ridgecrest,"12,585","12,596",0.1,Kern
Shafter,"5,791","6,093",5.2,Kern
Taft,"2,605","2,606",0.0,Kern
Tehachapi,"3,811","3,820",0.2,Kern
Wasco,"6,467","6,560",1.4,Kern
Kings,"46,729","47,205",1.0,Kings
Avenal,"2,591","2,618",1.0,Kings
Corcoran,"4,264","4,277",0.3,Kings
Hanford,"20,171","20,555",1.9,Kings
Lemoore,"9,608","9,633",0.3,Kings
Lake,"34,294","34,354",0.2,Lake
Clearlake,"7,623","7,624",0.0,Lake
Lakeport,"2,501","2,508",0.3,Lake
Lassen,"12,238","12,238",0.0,Lassen
Susanville,"4,294","4,288",-0.1,Lassen
Agoura Hills,"7,629","7,710",1.1,Los Angeles
Alhambra,"31,761","31,986",0.7,Los Angeles
Arcadia,"20,619","20,686",0.3,Los Angeles
Artesia,"4,760","4,771",0.2,Los Angeles
Avalon,"2,196","2,197",0.0,Los Angeles
Azusa,"15,335","15,512",1.2,Los Angeles
Baldwin Park,"18,270","18,352",0.4,Los Angeles
Bell,"9,482","9,515",0.3,Los Angeles
Bellflower,"25,260","25,298",0.2,Los Angeles
Bell Gardens,"10,201","10,224",0.2,Los Angeles
Beverly Hills,"16,267","16,296",0.2,Los Angeles
Bradbury,356,361,1.4,Los Angeles
Burbank,"45,843","46,147",0.7,Los Angeles
Calabasas,"9,382","9,390",0.1,Los Angeles
Carson,"27,936","27,953",0.1,Los Angeles
Cerritos,"16,376","16,378",0.0,Los Angeles
Claremont,"12,794","12,816",0.2,Los Angeles
Commerce,"3,524","3,525",0.0,Los Angeles
Compton,"24,751","24,867",0.5,Los Angeles
Covina,"17,566","17,585",0.1,Los Angeles
Cudahy,"5,864","5,897",0.6,Los Angeles
Culver City,"18,008","18,071",0.3,Los Angeles
Diamond Bar,"18,841","18,850",0.0,Los Angeles
Downey,"36,202","36,328",0.3,Los Angeles
Duarte,"7,700","8,351",8.5,Los Angeles
El Monte,"29,950","30,019",0.2,Los Angeles
El Segundo,"7,526","7,557",0.4,Los Angeles
Gardena,"22,486","22,623",0.6,Los Angeles
Glendale,"80,576","80,779",0.3,Los Angeles
Glendora,"18,674","18,724",0.3,Los Angeles
Hawaiian Gardens,"3,811","3,816",0.1,Los Angeles
Hawthorne,"31,631","31,666",0.1,Los Angeles
Hermosa Beach,"10,036","10,046",0.1,Los Angeles
Hidden Hills,650,652,0.3,Los Angeles
Huntington Park,"15,507","15,529",0.1,Los Angeles
Industry,74,74,0.0,Los Angeles
Inglewood,"39,620","39,793",0.4,Los Angeles
Irwindale,431,432,0.2,Los Angeles
La Canada Flintridge,"7,120","7,151",0.4,Los Angeles
La Habra Heights,"2,025","2,025",0.0,Los Angeles
Lakewood,"27,975","28,019",0.2,Los Angeles
La Mirada,"15,507","15,507",0.0,Los Angeles
Lancaster,"55,702","56,000",0.5,Los Angeles
La Puente,"10,018","10,063",0.4,Los Angeles
La Verne,"12,232","12,249",0.1,Los Angeles
Lawndale,"10,302","10,317",0.1,Los Angeles
Lomita,"8,597","8,601",0.0,Los Angeles
Long Beach,"181,426","182,441",0.6,Los Angeles
Los Angeles,"1,526,672","1,546,228",1.3,Los Angeles
Lynwood,"15,880","15,931",0.3,Los Angeles
Malibu,"6,692","6,751",0.9,Los Angeles
Manhattan Beach,"14,981","14,957",-0.2,Los Angeles
